step,current_tab,predicted_top1,predicted_top3,prediction_match_top1,prediction_match_top3,prefetched,latency_ms
130,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
131,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
132,tab_7,tab_7,"tab_7,tab_24,tab_16",1,1,1,20.0
133,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
134,tab_24,tab_24,"tab_24,tab_7,tab_5",1,1,1,20.0
135,tab_29,tab_5,"tab_5,tab_23,tab_24",0,0,1,20.0
136,tab_7,tab_7,"tab_7,tab_24",1,1,1,20.0
137,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
138,tab_16,tab_24,"tab_24,tab_7,tab_5",0,0,1,20.0
139,tab_7,tab_7,"tab_7,tab_24,tab_16",1,1,1,20.0
140,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
141,tab_24,tab_24,"tab_24,tab_7,tab_5",1,1,1,20.0
142,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
143,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
144,tab_7,tab_7,"tab_7,tab_24,tab_16",1,1,1,20.0
145,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
146,tab_24,tab_24,"tab_24,tab_7,tab_5",1,1,1,20.0
147,tab_23,tab_5,"tab_5,tab_23,tab_24",0,1,1,20.0
148,tab_24,tab_24,"tab_24,tab_7,tab_23",1,1,1,20.0
149,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
150,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
151,tab_7,tab_7,"tab_7,tab_24,tab_16",1,1,1,20.0
152,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
153,tab_5,tab_24,"tab_24,tab_7,tab_5",0,1,1,20.0
154,tab_5,tab_16,"tab_16,tab_24,tab_7",0,0,1,20.0
155,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
156,tab_7,tab_7,"tab_7,tab_24,tab_16",1,1,1,20.0
157,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
158,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
159,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
160,tab_23,tab_16,"tab_16,tab_7,tab_23",0,1,1,20.0
161,tab_24,tab_24,"tab_24,tab_7,tab_5",1,1,1,20.0
162,tab_12,tab_5,"tab_5,tab_23,tab_24",0,0,1,20.0
163,tab_16,tab_7,"tab_7,tab_16",0,1,1,20.0
164,tab_5,tab_7,"tab_7,tab_24,tab_16",0,0,1,20.0
165,tab_16,tab_16,"tab_16,tab_5,tab_23",1,1,1,20.0
166,tab_7,tab_7,"tab_7,tab_24,tab_16",1,1,1,20.0
167,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
168,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
169,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
170,tab_16,tab_16,"tab_16,tab_23,tab_7",1,1,1,20.0
171,tab_7,tab_7,"tab_7,tab_24,tab_16",1,1,1,20.0
172,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
173,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
174,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
175,tab_7,tab_16,"tab_16,tab_23,tab_7",0,1,1,20.0
176,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
177,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
178,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
179,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
180,tab_7,tab_7,"tab_7,tab_24,tab_16",1,1,1,20.0
181,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
182,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
183,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
184,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
185,tab_7,tab_7,"tab_7,tab_24,tab_16",1,1,1,20.0
186,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
187,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
188,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
189,tab_11,tab_16,"tab_16,tab_7,tab_23",0,0,1,20.0
190,tab_24,tab_4,tab_4,0,0,1,20.0
191,tab_5,tab_5,"tab_5,tab_23,tab_16",1,1,1,20.0
192,tab_7,tab_16,"tab_16,tab_7,tab_23",0,1,1,20.0
193,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
194,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
195,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
196,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
197,tab_7,tab_7,"tab_7,tab_24,tab_16",1,1,1,20.0
198,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
199,tab_5,tab_24,"tab_24,tab_5,tab_7",0,1,1,20.0
200,tab_16,tab_16,"tab_16,tab_24,tab_7",1,1,1,20.0
201,tab_7,tab_7,"tab_7,tab_24,tab_16",1,1,1,20.0
202,tab_24,tab_23,"tab_23,tab_16,tab_24",0,1,1,20.0
203,tab_23,tab_5,"tab_5,tab_16,tab_23",0,1,1,20.0
204,tab_24,tab_24,"tab_24,tab_5,tab_7",1,1,1,20.0
205,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
